Nazwa;KOSZT;KOSZ Z MARŻĄ;Pomiń marże;Opis;Main Flaga;Flaga;ItemCategory;ItemType;ItemGroupType;PLIK;Stackowanie;Instancja[OLD];visualInstance;Instancja [SAGA3];Waga;Tier;adminRank;hideNick;Liczba użyć;Stamina 1 Hit;HP 1 hit;Mana 1 Hit;Stamina;HP;MANA;Rodzaj Obrażeń;DMG;Zasięg;W: Siła;W: Zręczność;W: Inteligencja;healing_tick;efekt czaru;Instancja przemiany;HP przemiany;W: Krąg;W: Mana;runeType;Przedmiot do naprawy;Wytrzymałość;canRob;Podatek Silden %;Podatek Geldern %;expirationTime;foodType;enduranceCost;arrowSpeed;Obuchowa;Pociski;Sieczna;Magia;Ogień;Upadek;Profesja;Kategoria;model nazwa;Do katalogu?
Przecinak;81,43;107,44;FAŁSZ;Narzędzie do obróbki kamienia i metalu. Wykonane z solidnej stali.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ZWEIHAENDER1_GENERATE;-;ITMW_GS_2H_04;3;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;30;100;12;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;250;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_032_2h_sword_light_01.3ds;PRAWDA
Długi miecz najemnika;95,90;125,72;FAŁSZ;Solidny, miecz długi, często używany przez najemników.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SPECIAL_01;-;ITMW_GS_2H_05;3;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;30;100;12;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;275;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_050_2h_Sword_smith_02.3ds;PRAWDA
Kąsacz;123,30;160,76;FAŁSZ;Nazwa wynika z małych kolców wystających z boków ostrza.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ZWEIHAENDER2_GENERATE;-;ITMW_GS_2H_06;4;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;35;110;24;6;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;275;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_055_2h_sword_light_05.3ds;PRAWDA
Wilcza łapa;145,30;201,81;FAŁSZ;Miecz zwykle używany na Archolos, przez Wilczych Synów.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_WS_SWORD_ULRYK;-;ITMW_GS_2H_07;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;40;110;28;6;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;300;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2h_WolfenSonSword_Golden.3ds;PRAWDA
Pazur zębacza;147,18;204,39;FAŁSZ;Broń ostra niczym pazur zębacza.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_WS_SWORD_DEVIR;-;ITMW_GS_2H_08;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;40;110;28;6;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;300;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2h_WolfenSonSword.3ds;PRAWDA
Miecz żołnierza barona;189,48;268,10;FAŁSZ;Prosty miecz wykonany z hartowanej stali, używany przez zwykłych żołnierzy barona.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SPECIAL_02;-;ITMW_GS_2H_09;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;50;110;38;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;300;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_070_2h_Sword_smith_03.3ds;PRAWDA
Ciężki miecz dwuręczny;204,48;291,14;FAŁSZ;Masywna, stalowa broń sieczna, przeznaczona do walki oburącz. Wymaga dużej siły, aby władać nią z należytą precyzją.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ZWEIHAENDER4;-;ITMW_GS_2H_10;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;55;110;38;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;300;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_2H_Oldsword_02.3ds;PRAWDA
Dwuręczny miecz straży;231,78;324,74;FAŁSZ;Potężne, dwuręczne ostrze używane przez strażników miejskich. Wymaga dużej siły, aby władać tym masywnym kawałkiem stali.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_MIL_SWORD_LEWKO;-;ITMW_GS_2H_11;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;55;110;38;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;325;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2H_LeatherSword_01.3ds;PRAWDA
Południowa dwuręczna maczeta;268,65;381,43;FAŁSZ;Duże, kute ostrze, idealne do walki w dżungli lub z potężnym przeciwnikiem.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ADDON_HACKER_2H_02;-;ITMW_GS_2H_12;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;60;110;48;12;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_2H_Machete_01.3ds;PRAWDA
Miecz z ciemnej stali;295,95;415,03;FAŁSZ;Miecz wykuty z rzadkiej, ciemnej stali, co nadaje mu wyjątkową wytrzymałość i mroczny blask.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_FAKEARTIFACT_DEATH;-;ITMW_GS_2H_13;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;70;110;51;14;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2H_FakeArtefact_DeathsBreath.3ds;PRAWDA
Żelazny estok;295,95;415,03;FAŁSZ;Porządnie wykuty estok.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_FAKEARTIFACT_DEATH;-;ITMW_GS_2H_82;4;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;70;110;14;51;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Rapiery;2H_SIGI_ESTOC_01.3DS;PRAWDA
Stalowy estok;382,13;600,35;FAŁSZ;Porządnie wykuty estok.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_10;-;ITMW_GS_2H_83;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;75;120;15;55;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Rapiery;2H_SIGI_ESTOC_02.3DS;PRAWDA
Tygrys Varantu;382,13;600,35;FAŁSZ;Broń z zakrzywionym ostrzem, bardzo trudno się przeciwko niej bronić.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_10;-;ITMW_GS_2H_14;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;75;120;55;15;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_Rychu_2h_Sword_02.3ds;PRAWDA
Wielka maczeta szaleńca;382,13;600,35;FAŁSZ;To duża, zakrzywiona broń, której użycie wymaga dużej siły. Budzi grozę samym wyglądem.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ADDON_HACKER_2H_01;-;ITMW_GS_2H_15;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;75;120;55;15;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_2H_Machete_02.3ds;PRAWDA
Królewskie ramię;434,67;702,17;FAŁSZ;Stosowane przez królewskich gwardzistów.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_07;-;ITMW_GS_2H_16;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;80;120;60;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2h_Sword_01.3ds;PRAWDA
Długi klarowany miecz;464,67;750,18;FAŁSZ;Miecz o dużym znaczeniu dla kolekcjonerów.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_PAL_SWORD;-;ITMW_GS_2H_17;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;90;120;64;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;350;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_040_2h_PAL_Sword_03.3ds;PRAWDA
Mściciel;525,33;856,55;FAŁSZ;Czy zemsta przynosi ulgę?;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_02;-;ITMW_GS_2H_18;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;90;120;64;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_sword_02.3ds;PRAWDA
Siepacz;590,33;943,05;FAŁSZ;Ponoć może ściąć trzy łby za jednym zamachem.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_NONE_2H_SWORD2;-;ITMW_GS_2H_19;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;100;120;72;18;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2H_DragonSword_01.3ds;PRAWDA
Ostrze runiczne;620,71;982,00;FAŁSZ;Magiczne ostrze wykute z rudy, na którym wyryto starożytne runy, zwiększające jego moc.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_ZWEIHAENDER3;-;ITMW_GS_2H_20;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;100;120;72;18;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_060_2h_sword_01.3ds;PRAWDA
Dwuręczny wężowy miecz;692,88;1 107,37;FAŁSZ;Ostrze wykute w kształcie wijącego się węża, z symbolami pradawnej rasy.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_01;-;ITMW_GS_2H_21;4,5;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;105;120;80;20;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_sword_01.3ds;PRAWDA
Pozłacane ostrze;778,75;1 269,61;FAŁSZ;Ostrze pokryte cienką warstwą złota, prawdopodobnie wykonane na zamówienie dla kogoś zamożnego.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_03_GENERATE;-;ITMW_GS_2H_22;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;110;130;90;20;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_sword_03.3ds;PRAWDA
Święty kat;861,75;1 436,44;FAŁSZ;Do walki z grzesznikami, przyda się zawrówno wiara jak i ta broń.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_BLESSED_03;-;ITMW_GS_2H_23;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;115;130;105;25;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_040_2h_PAL_sword_heavy_RAW_01.3ds;PRAWDA
Kordelas abordażowy;869,75;1 505,77;FAŁSZ;Krótka, zakrzywiona broń sieczna, idealna do walki w zwarciu na pokładach statków.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_KRUMMSCHWERT;-;ITMW_GS_2H_24;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;115;130;105;25;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_070_2h_sword_09.3ds;PRAWDA
Pijawka;924,75;1 578,57;FAŁSZ;Na jej ostrzu umieszczono wgłębienie na spływ posoki krwi.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_DRACHENSCHNEIDE;-;ITMW_GS_2H_25;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;120;120;112;28;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;itMw_080_2h_sword_heavy_04.3ds;PRAWDA
Ostrze burzy;1 037,75;1 785,70;FAŁSZ;Poważny kawałek żelastwa.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_STURMBRINGER;-;ITMW_GS_2H_26;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;125;130;120;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;375;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_075_2h_sword_heavy_03.3ds;PRAWDA
Krzyk umierających;1 087,75;1 850,70;FAŁSZ;A wówczas usłyszą jeno przeraźliwy krzyk.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SWORD_08;-;ITMW_GS_2H_27;5,5;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;130;130;120;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do broni;400;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_Rychu_big_sword_01.3ds;PRAWDA
Sihill;1 782,25;3 352,43;FAŁSZ;Miecz z mroźnej krainy.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2HSTR_SWORDADDITIONAL_01;-;ITMW_GS_2H_28;6;5;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;135;140;140;30;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Duży zestaw naprawczy do broni;400;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_2H_SilverSword_02.3ds;PRAWDA
Okrutnik;2 321,75;4 116,33;FAŁSZ;Ostrze obsadzone wielkim ametystem.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_PATRON_NIGHTMARE;-;ITMW_GS_2H_29;6;5;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;140;140;150;40;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Duży zestaw naprawczy do broni;425;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;KM_ItMw_2h_Sword_03.3ds;PRAWDA
Rubinowe ostrze;2 602,42;4 802,68;FAŁSZ;Ostrze obsadzone wielkim rubinem.;ITEM_CAT_NF;ITEM_FLAG_2HD_SWD;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SPECIAL_04;-;ITMW_GS_2H_30;6;5;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_EDGE;145;140;150;50;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Duży zestaw naprawczy do broni;450;FAŁSZ;5;5;BRAK;BRAK;1;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Miecze;ItMw_110_2h_sword_smith_05.3ds;PRAWDA
Długi kij;#N/D;#N/D;FAŁSZ;Najzwyklejszy długi kij.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SPEAR_15_NORMAL;-;ITMW_GS_2H_30_1;4;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;10;95;3;0;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;225;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;;;FAŁSZ
Prowizoryczna wędka;#N/D;#N/D;FAŁSZ;Prosta wędka stworzona z paru kijów, służy do łowienia ryb, niestety niczym jej nie naprawisz.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_SDRP_2H_OTH_01;-;ITMW_GS_2H_30_2;2;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;3;90;3;0;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;40;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;;;FAŁSZ
Zardzewiała łopata;#N/D;#N/D;FAŁSZ;Narzędzie niezbędne do kopania dołów i rozkopywania ziemi, niestety niczym jej nie naprawisz.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;itmw_SDRP_2h_oth_07;-;ITMW_GS_2H_30_3;2;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;5;90;3;0;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;BRAK;40;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;;;FAŁSZ
Wędka;21,80;29,60;FAŁSZ;Sprzęt wędkarski składający się z wędziska, żyłki i haczyka, przeznaczony do połowu ryb.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_SDRP_2H_OTH_01;-;ITMW_GS_2H_31;2;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;5;90;3;0;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do narzędzi;100;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Hutnik;;MALAWEDKA.3ds;PRAWDA
Łopata;21,30;28,66;FAŁSZ;Narzędzie niezbędne do kopania dołów i rozkopywania ziemi, wykonane z solidnego drewna i metalu.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;itmw_SDRP_2h_oth_07;-;ITMW_GS_2H_32;2;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;5;90;4;2;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do narzędzi;100;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Hutnik;;LOPATA2.3ds;PRAWDA
Kij sędziego;50,00;68,68;FAŁSZ;Solidny kij, używany przez sędziów do utrzymania porządku w sądzie.;ITEM_CAT_NF;ITEM_FLAG_2HD_OBUCH;Weapon;TwoHanded;AdminWeaponTwoHanded;weapons2h;FAŁSZ;ITMW_2H_SPEAR_15_NORMAL;-;ITMW_GS_2H_33;4;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;DAMAGE_BLUNT;20;95;8;2;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do broni;225;PRAWDA;5;5;BRAK;BRAK;0,5;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;Kowal;Obuchy;ItMw_020_2h_Nov_Staff_01.3ds;PRAWDA
